academic_year,sending_institution,receiving_institution,major,group,section,category,receiving_type,receiving_requirement,sending_courses,sending_course_options,fulfillment_options,no_articulation_reason,denied_courses,template_cell_id
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",AGPS Agricultural Plant & Soil Science,,,AGPS Agricultural Plant & Soil Science,Course,AGPS 108 - Tractor Operation,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",AGPS Agricultural Plant & Soil Science,,,AGPS Agricultural Plant & Soil Science,Course,AGPS 128 - Intro to Soil Science,HORT 53 - Soil Science and Management,['HORT 53 - Soil Science and Management'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HORT 53 - Soil Science and Management']}], 'courses': ['HORT 53 - Soil Science and Management'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",AGPS Agricultural Plant & Soil Science,,,AGPS Agricultural Plant & Soil Science,Course,AGPS 181 - Plant Materials & Usage- Spring,"HORT 61 - Plant Identification: Shrubs, Vines, and Ground Covers","['HORT 61 - Plant Identification: Shrubs, Vines, and Ground Covers']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HORT 61 - Plant Identification: Shrubs, Vines, and Ground Covers']}], 'courses': ['HORT 61 - Plant Identification: Shrubs, Vines, and Ground Covers'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",AGPS Agricultural Plant & Soil Science,,,AGPS Agricultural Plant & Soil Science,Course,AGPS 182 - Plant Materials & Usage- Fall,"HORT 62 - Plant Identification: Trees, Annuals, and Perennials","['HORT 62 - Plant Identification: Trees, Annuals, and Perennials']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HORT 62 - Plant Identification: Trees, Annuals, and Perennials']}], 'courses': ['HORT 62 - Plant Identification: Trees, Annuals, and Perennials'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",AGPS Agricultural Plant & Soil Science,,,AGPS Agricultural Plant & Soil Science,Course,AGPS 191 - Small Fruit Production,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",AGPS Agricultural Plant & Soil Science,,,AGPS Agricultural Plant & Soil Science,Course,AGPS 192 - Vegetable Crop Production,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",AGPS Agricultural Plant & Soil Science,,,AGPS Agricultural Plant & Soil Science,Course,AGPS 205 - Organic Crop Production,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",AGPS Agricultural Plant & Soil Science,,,AGPS Agricultural Plant & Soil Science,Course,AGPS 209 - Plants and Climate Change,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",AGPS Agricultural Plant & Soil Science,,,AGPS Agricultural Plant & Soil Science,Course,AGPS 213 - Principles of Viticulture,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",AGPS Agricultural Plant & Soil Science,,,AGPS Agricultural Plant & Soil Science,Course,AGPS 216 - Plant Propagation & Production,HORT 63 - Plant Propagation,['HORT 63 - Plant Propagation'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HORT 63 - Plant Propagation']}], 'courses': ['HORT 63 - Plant Propagation'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",AGPS Agricultural Plant & Soil Science,,,AGPS Agricultural Plant & Soil Science,Course,AGPS 294 - Sophomore Internship in AG,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",AGPS Agricultural Plant & Soil Science,,,AGPS Agricultural Plant & Soil Science,Course,AGPS 297 - Independent Research in Agriculture,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ASL American Sign Language,,,ASL American Sign Language,Course,ASL 101 - Beginning American Sign Language I,SIGN 1A - Elementary American Sign Language I,['SIGN 1A - Elementary American Sign Language I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['SIGN 1A - Elementary American Sign Language I']}], 'courses': ['SIGN 1A - Elementary American Sign Language I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ASL American Sign Language,,,ASL American Sign Language,Course,ASL 102 - Beginning American Sign Language II,SIGN 1B - Elementary American Sign Language II,['SIGN 1B - Elementary American Sign Language II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['SIGN 1B - Elementary American Sign Language II']}], 'courses': ['SIGN 1B - Elementary American Sign Language II'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ASL American Sign Language,,,ASL American Sign Language,Course,ASL 201 - Intermediate American Sign Language I,SIGN 2A - Intermediate American Sign Language,['SIGN 2A - Intermediate American Sign Language'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['SIGN 2A - Intermediate American Sign Language']}], 'courses': ['SIGN 2A - Intermediate American Sign Language'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",BIO Biology,,,BIO Biology,Course,BIO 106 - Intro to Plant Science,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",BIO Biology,,,BIO Biology,Course,BIO 115 - Survey of Physiology,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",BIO Biology,,,BIO Biology,Course,BIO 131 - Bioethics,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",BIO Biology,,,BIO Biology,Course,BIO 148 - Intro to Animal Training,,[],[],,[],
